Nom_IRIS,lat,lon
Cabanac-Séguenville,43.791321419014935,1.0193966727481123
Le Cabanial,43.52158085267455,1.8692187780069358
Cadours,43.726498828759546,1.046585956405547
Caignac,43.31993768711373,1.7079263177990431
Calmont,43.284170408431706,1.626494145966076
Cambernard,43.462503670049465,1.1788146945983076
Cambiac,43.49095178073288,1.7895154359227414
Canens,43.216313553297404,1.3327220920515057
Capens,43.33462749070405,1.2604110466193652
Caragoudes,43.50065637128035,1.7140513782162705
Caraman,43.5290470072699,1.7529843690029066
Carbonne,43.30128109513095,1.2186222819453882
Cardeilhac,43.1957593523693,0.6761363700298103
Cassagnabère-Tournas,43.23099662245327,0.7993495396525334
Cassagne,43.12427481152907,0.991775060286922
Castagnac,43.23557732804195,1.3435885248850756
Castagnède,43.05142853259344,0.9760208517560682
